Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_Push,
"C1, C11, C2, C3, C6",0402,5,1u,
"C10, C12",0402,2,22p,
"C13, C14, C15, C16, C4, C7, C8, C9",0402,8,100n,
C5,0603,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D54, D55, D56, D57, D58, D59, D6, D61, D62, D63, D64, D65, D7, D8, D9",D_SOD-123_xomm,63,D_Small,
J1,JST_SH_BM07B-SRSS-TB_1x07-1MP_P1.00mm_Vertical,1,Conn_01x07,
"MX1, MX16, MX2, MX3, MX32, MX52, MX53, MX54, MX55, MX56, MX59, MX60, MX61, MX62, MX63, MX66, MX67",SW_MX_HS_S_CPG151101S11_1u,17,MX_SW_HS,
"MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX30, MX31, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX57, MX58, MX6, MX64, MX65, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,50,MX_SW_HS,
"R3, R4, R5",0402,3,5.1k,
"R6, R9",0402,2,1k,
"R7, R8",0402,2,27,
"S1, S2, S3, S4",STAB_MX_P_2u,4,MX_stab,
U1,SOT-23-3,1,XC6206PxxxMR,
U2,SOT-23-6-routable,1,SRV05-4,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
